,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
900,4275721,K01342.01,Kepler-825 b,CONFIRMED,CANDIDATE,0.808,0,0,0,0,1.5631004669893989,1.232e-05,-1.232e-05,4.905794125036118,0.00259,-0.00259,0.0,0.424,0.0,1.3159255434530082,0.0772,-0.0772,5.176149732573829,7.7,-7.7,0.8285518175661483,0.33,-0.19,7.147559271189454,,,6.422467439003985,455.61,-223.55,3.2809112157876537,1.0,q1_q17_dr25_tce,6224.0,169.0,-207.0,4.404,0.135,-0.18,0.6775257996569884,0.243,-0.142,294.7699,39.39851,14.207
901,4275721,K01342.02,Kepler-825 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,2.2172256479041934,2.304e-05,-2.304e-05,4.911287996085542,0.00208,-0.00208,0.5038010088290262,0.274,-0.444,1.2402854469842552,0.0738,-0.0738,5.705780477318874,11.7,-11.7,1.0188473201992472,0.45,-0.26,6.889591308354466,,,5.393172897560715,162.3,-79.63,3.3463891451671604,2.0,q1_q17_dr25_tce,6224.0,169.0,-207.0,4.404,0.135,-0.18,0.6775257996569884,0.243,-0.142,294.7699,39.39851,14.207
902,8874090,K01404.01,Kepler-834 b,CONFIRMED,CANDIDATE,0.999,0,0,0,0,2.6619290184308126,4.715e-05,-4.715e-05,4.914460974363881,0.00265,-0.00265,0.07045846364856141,0.351,-0.073,1.4400246835408583,0.0921,-0.0921,6.662238298691035,33.1,-33.1,0.8153648132841945,0.23,-0.31,5.937536205082426,,,1.763017000362401,3.64,-2.66,3.292126286607793,1.0,q1_q17_dr25_tce,3751.0,219.0,-219.0,4.813,0.104,-0.085,0.37156355643248307,0.082,-0.11,287.05453,45.18037,15.931
903,11666881,K00167.01,Kepler-480 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,1.7782663445805562,4.556e-06,-4.556e-06,4.909727044966709,0.000743,-0.000743,0.21752781252857406,0.142,-0.243,1.6484278297252963,0.0253,-0.0253,6.056081190193955,3.8,-3.8,1.3506671834767394,0.5,-0.36,7.180069874302796,,,6.555541796478612,337.95,-208.32,4.890349128221754,1.0,q1_q17_dr25_tce,6236.0,111.0,-124.0,4.246,0.11,-0.121,0.86625979826859,0.241,-0.175,294.4639,49.765041,13.273
904,9264949,K01405.01,Kepler-835 b,CONFIRMED,CANDIDATE,0.996,0,0,0,0,2.519237128739002,7.774e-05,-7.774e-05,5.232738197457497,0.00496,-0.00496,0.6662897263900626,0.0,-0.662,1.8140100781628747,0.188,-0.188,6.234802805707711,23.8,-23.8,1.463255402256019,1.0,-0.42,6.826545223556594,,,5.143591521344882,150.95,-59.64,3.2068032436339315,1.0,q1_q17_dr25_tce,6311.0,177.0,-243.0,4.398,0.052,-0.208,0.775648402071689,0.351,-0.15,283.57422,45.734798,15.965
905,9271752,K01406.01,Kepler-836 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,2.5145570772816614,2.414e-05,-2.414e-05,4.926716149406398,0.0017,-0.0017,0.5504308783583501,0.01,-0.528,1.6464639112705475,0.0592,-0.0592,6.34651316930213,11.3,-11.3,1.2809338454620642,0.86,-0.29,6.76849321164863,,,4.9124342731675945,132.49,-41.14,4.060443010546419,1.0,q1_q17_dr25_tce,6244.0,175.0,-197.0,4.46,0.056,-0.224,0.6976370858327973,0.335,-0.112,287.45279,45.704399,14.63
907,9150827,K01408.01,Kepler-1749 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,2.743038143708172,5.022e-05,-5.022e-05,4.986523118020014,0.00257,-0.00257,0.5687171021817683,0.166,-0.524,1.4607986832879958,0.0799,-0.0799,6.237543069704688,17.5,-17.5,0.8586616190375187,0.07,-0.09,6.042632833682381,,,2.1210632163706555,1.33,-1.54,3.5115454388310208,1.0,q1_q17_dr25_tce,3957.0,71.0,-87.0,4.693,0.042,-0.018,0.44018854416655007,0.027,-0.039,290.29456,45.56461,14.688
908,3939150,K01215.02,Kepler-277 c,CONFIRMED,CANDIDATE,0.999,0,0,0,0,3.5265463455856696,0.000149,-0.000149,4.986262065497387,0.00392,-0.00392,0.3293037471426004,0.063,-0.39,2.094083818416706,0.12,-0.12,5.6315701405422764,7.6,-7.6,1.4182774069729414,0.45,-0.76,6.658011045870748,,,4.47026642352329,35.64,-40.42,3.6686767467964168,2.0,q1_q17_dr25_tce,5968.0,120.0,-108.0,3.972,0.21,-0.084,1.0497721232486361,0.264,-0.452,286.58316,39.077202,13.42
909,3839488,K01216.01,Kepler-794 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,2.4957865476347845,3.506e-05,-3.506e-05,4.907963087620976,0.00269,-0.00269,0.009950330853168083,0.42,-0.01,1.655787004371461,0.0749,-0.0749,5.357529226179882,6.7,-6.7,1.1184149159642893,0.35,-0.39,6.859614903654202,,,5.2745880398488,92.52,-76.47,3.632309102625542,1.0,q1_q17_dr25_tce,5800.0,105.0,-117.0,4.202,0.156,-0.117,0.8899467565345531,0.247,-0.271,288.1337,38.99688,13.459
910,3542588,K01217.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,1,1.4977104216506751,2.083e-05,-2.083e-05,4.903351522759909,0.00551,-0.00551,0.5417427264007122,0.196,-0.473,1.5396590178261838,0.174,-0.174,4.613138355637268,4.4,-4.4,0.7839015438284094,0.38,-0.15,7.214504414151143,,,6.6921457753220075,732.74,-262.04,3.349904087274605,1.0,q1_q17_dr25_tce,6341.0,153.0,-191.0,4.409,0.054,-0.216,0.7471617688661836,0.353,-0.141,290.86142,38.641129,13.599
